year,home_team,away_team,rank_dif,rating_dif,label
2010,Ghana,Nigeria,6,1.8181818181818272,0
2010,Argentina,Nigeria,-26,5.690909090909088,0
2010,Greece,Nigeria,-16,6.727272727272734,0
2010,Ghana,Australia,14,3.2272727272727337,2
2010,Germany,Australia,-19,3.7727272727272663,0
2010,Slovenia,Australia,25,6.772727272727266,0
2010,Switzerland,Australia,-11,-0.22727272727272663,2
2010,Ghana,Germany,33,-0.5454545454545325,1
2010,Argentina,Germany,1,3.327272727272728,1
2010,Uruguay,Germany,20,1.7272727272727337,1
2010,Denmark,Germany,22,1.327272727272728,2
2010,Ivory Coast,Ghana,-19,3.2727272727272663,0
2010,South Africa,Ghana,47,-3.0909090909091006,0
2010,Netherlands,Ghana,-35,-0.5606060606060623,0
2010,Uruguay,Ghana,-13,2.2727272727272663,2
2010,Serbia,Ghana,-18,0.818181818181813,1
2010,Ivory Coast,Algeria,-10,6.9090909090909065,1
2010,Nigeria,Algeria,3,1.818181818181813,0
2010,England,Algeria,-22,-3.0909090909090935,2
2010,Ivory Coast,Portugal,9,-1.3333333333333286,2
2010,Spain,Portugal,-8,-5.878787878787875,0
2010,Cameroon,Denmark,-13,0.20000000000000284,1
2010,South Africa,Denmark,58,-4.963636363636361,0
2010,Australia,Denmark,-3,-5.099999999999994,0
2010,Netherlands,Denmark,-24,-2.433333333333323,0
2010,Portugal,Denmark,-17,2.7333333333333343,0
2010,Cameroon,Netherlands,11,2.6333333333333258,1
2010,Uruguay,Netherlands,22,2.8333333333333286,1
2010,Chile,Switzerland,4,5.272727272727273,0
2010,Spain,Switzerland,-11,2.18181818181818,1
2010,Chile,Spain,15,3.0909090909090935,1
2010,Argentina,Spain,4,5.145454545454541,0
2010,Mexico,Spain,16,-2.7272727272727266,2
2010,France,Spain,7,4.0909090909090935,1
2010,Germany,Spain,3,1.818181818181813,1
2010,Netherlands,Spain,1,0.7121212121212182,1
2010,Portugal,Spain,8,5.878787878787875,0
2010,Paraguay,Spain,19,2.4545454545454533,1
2010,Chile,Uruguay,-8,-0.45454545454545325,0
2010,South Africa,Uruguay,60,-5.363636363636367,1
2010,Mexico,Uruguay,-7,-6.272727272727273,1
2010,Switzerland,Uruguay,-12,-5.727272727272727,1
2010,Argentina,Mexico,-12,7.872727272727268,0
2010,South Africa,Mexico,67,0.9090909090909065,2
2010,England,Mexico,-11,-2.7272727272727266,0
2010,France,Mexico,-9,6.81818181818182,1
2010,Italy,Mexico,-14,7.81818181818182,1
2010,Netherlands,Mexico,-15,3.4393939393939448,0
2010,Argentina,Brazil,5,0.05454545454544757,0
2010,Netherlands,Brazil,2,-4.378787878787875,0
2010,Portugal,Brazil,9,0.7878787878787818,2
2010,South Africa,France,76,-5.909090909090914,0
2010,England,France,-2,-9.545454545454547,1
2010,Uruguay,France,16,-0.5454545454545467,2
2010,Algeria,Serbia,9,-4.454545454545453,1
2010,Japan,Serbia,20,-3.0,1
2010,Australia,Serbia,4,-4.045454545454547,0
2010,Germany,Serbia,-15,-0.2727272727272805,1
2010,Italy,Serbia,-16,3.0,0
2010,New Zealand,Serbia,63,-7.0,0
2010,Algeria,Slovenia,-20,-7.181818181818173,1
2010,Serbia,Slovenia,-29,-2.7272727272727195,2
2010,Japan,England,33,4.545454545454547,1
2010,Germany,England,-2,7.272727272727266,0
2010,Slovenia,England,42,10.272727272727266,1
2010,Switzerland,England,6,3.2727272727272734,1
