age,country_code,dob,full_name,image,nation,potential,rating,short_name,value,wage,year
26.0,7,"Jun 28, 1991",K. De Bruyne,https://cdn.sofifa.org/1x/18/players/192985.png,Belgium,92.0,91.0,K. De Bruyne,104.5,395.0,18
26.0,7,"Jan 7, 1991",E. Hazard,https://cdn.sofifa.org/1x/18/players/183277.png,Belgium,91.0,91.0,E. Hazard,95.5,405.0,18
25.0,7,"May 11, 1992",T. Courtois,https://cdn.sofifa.org/1x/18/players/192119.png,Belgium,92.0,89.0,T. Courtois,59.0,190.0,18
24.0,7,"May 13, 1993",R. Lukaku,https://cdn.sofifa.org/1x/18/players/192505.png,Belgium,90.0,86.0,R. Lukaku,59.0,210.0,18
23.0,7,"Sep 4, 1993",Y. Carrasco,https://cdn.sofifa.org/1x/18/players/208418.png,Belgium,90.0,85.0,Y. Carrasco,0.0,0.0,18
30.0,7,"May 6, 1987",D. Mertens,https://cdn.sofifa.org/1x/18/players/175943.png,Belgium,87.0,87.0,D. Mertens,48.5,135.0,18
29.0,7,"May 4, 1988",R. Nainggolan,https://cdn.sofifa.org/1x/18/players/178518.png,Belgium,86.0,86.0,R. Nainggolan,42.5,130.0,18
28.0,7,"Mar 2, 1989",T. Alderweireld,https://cdn.sofifa.org/1x/18/players/184087.png,Belgium,86.0,85.0,T. Alderweireld,35.0,140.0,18
30.0,7,"Apr 24, 1987",J. Vertonghen,https://cdn.sofifa.org/1x/18/players/172871.png,Belgium,86.0,86.0,J. Vertonghen,33.0,155.0,18
31.0,7,"Apr 10, 1986",V. Kompany,https://cdn.sofifa.org/1x/18/players/139720.png,Belgium,85.0,85.0,V. Kompany,26.0,170.0,18
29.0,7,"Jul 16, 1987",M. Dembélé,https://cdn.sofifa.org/1x/18/players/162240.png,Belgium,84.0,84.0,M. Dembélé,30.0,150.0,18
26.0,7,"Jan 7, 1991",E. Hazard,https://cdn.sofifa.org/1x/18/players/183277.png,Belgium,91.0,91.0,E. Hazard,95.5,405.0,14
