age,country_code,dob,full_name,image,nation,potential,rating,short_name,value,wage,year
23.0,1,"Feb 2, 1994",E. Hysaj,https://cdn.sofifa.org/1x/18/players/210864.png,Albania,84.0,80.0,E. Hysaj,16.0,58.0,18
22.0,1,"Mar 19, 1995",T. Strakosha,https://cdn.sofifa.org/1x/18/players/212151.png,Albania,1.0,79.0,T. Strakosha,89.0,1.0,18
28.0,1,"Mar 10, 1989",E. Berisha,https://cdn.sofifa.org/1x/18/players/189296.png,Albania,78.0,78.0,E. Berisha,7.5,24.0,18
31.0,1,"Jun 9, 1986",M. Mavraj,https://cdn.sofifa.org/1x/18/players/182713.png,Albania,74.0,74.0,M. Mavraj,3.8,29.0,18
26.0,1,"Jan 11, 1991",B. Balaj,https://cdn.sofifa.org/1x/18/players/199563.png,Albania,72.0,71.0,B. Balaj,2.8,25.0,18
25.0,1,"Jan 1, 1992",I. Balliu,https://cdn.sofifa.org/1x/18/players/203581.png,Albania,74.0,72.0,Balliu,3.1,10.0,18
28.0,1,"Jul 15, 1988",S. Gashi,https://cdn.sofifa.org/1x/18/players/177673.png,Albania,72.0,72.0,S. Gashi,3.1,7.0,18
26.0,1,"Mar 28, 1991",T. Xhaka,https://cdn.sofifa.org/1x/18/players/199504.png,Albania,75.0,73.0,T. Xhaka,4.0,32.0,18
29.0,1,"Mar 8, 1988",J. Hyka,https://cdn.sofifa.org/1x/18/players/176628.png,Albania,70.0,70.0,J. Hyka,1.7,7.0,18
23.0,1,"Jul 8, 1993",E. Kaçe,https://cdn.sofifa.org/1x/18/players/202149.png,Albania,74.0,71.0,E. Kaçe,3.0,1.0,18
30.0,1,"Dec 17, 1986",L. Memushaj,https://cdn.sofifa.org/1x/18/players/201220.png,Albania,72.0,72.0,L. Memushaj,2.9,4.0,18
32.0,1,"Jul 27, 1983",L. Cana,https://cdn.sofifa.org/1x/17/players/134956.png,Albania,71.0,71.0,L. Cana,950.0,4.0,14
30.0,1,"Jan 5, 1987",M. Basha,https://cdn.sofifa.org/1x/18/players/189779.png,Albania,71.0,71.0,M. Basha,2.2,4.0,14
23.0,1,"Jul 8, 1993",E. Kaçe,https://cdn.sofifa.org/1x/18/players/202149.png,Albania,74.0,71.0,E. Kace,3.0,1.0,14
27.0,1,"Nov 20, 1989",A. Mehmeti,https://cdn.sofifa.org/1x/18/players/187338.png,Albania,63.0,63.0,A. Mehmeti,400.0,3.0,14
28.0,1,"Jul 5, 1988",S. Ujkani,https://cdn.sofifa.org/1x/18/players/175897.png,Kosovo,72.0,72.0,S. Ujkani,2.2,3.0,14
25.0,1,"Jul 28, 1991",L. Sadiku,https://cdn.sofifa.org/1x/18/players/207805.png,Kosovo,73.0,71.0,L. Sadiku,2.4,10.0,14
29.0,1,"Mar 8, 1988",J. Hyka,https://cdn.sofifa.org/1x/18/players/176628.png,Albania,70.0,70.0,J. Hyka,1.7,7.0,14
25.0,1,"Feb 21, 1992",I. Azemi,https://cdn.sofifa.org/1x/18/players/210314.png,Kosovo,66.0,64.0,I. Azemi,550.0,4.0,14
26.0,1,"May 22, 1991",O. Roshi,https://cdn.sofifa.org/1x/18/players/203786.png,Albania,67.0,66.0,O. Roshi,750.0,9.0,14
28.0,1,"Nov 20, 1987",V. Rama,https://cdn.sofifa.org/1x/17/players/177515.png,Albania,68.0,68.0,V. Rama,850.0,4.0,14
26.0,1,"Jul 22, 1989",E. Çani,https://cdn.sofifa.org/1x/17/players/186847.png,Albania,65.0,65.0,E. Çani,575.0,3.0,14
31.0,1,"Jul 29, 1985",B. Berisha,https://cdn.sofifa.org/1x/18/players/157707.png,Kosovo,71.0,71.0,B. Berisha,2.1,8.0,10
32.0,1,"Jul 27, 1983",L. Cana,https://cdn.sofifa.org/1x/17/players/134956.png,Albania,71.0,71.0,L. Cana,950.0,4.0,10
30.0,1,"Oct 26, 1985",L. Haliti,https://cdn.sofifa.org/1x/17/players/187955.png,Australia,60.0,60.0,L. Haliti,180.0,1.0,10
30.0,1,"Jan 5, 1987",M. Basha,https://cdn.sofifa.org/1x/18/players/189779.png,Albania,71.0,71.0,M. Basha,2.2,4.0,10
21.0,1,"Oct 8, 1989",K. Lushtaku,https://cdn.sofifa.org/1x/12/players/193883.png,Albania,1.0,61.0,K. Lushtaku,67.0,1.0,10
29.0,1,"May 17, 1980",I. Lika,https://cdn.sofifa.org/1x/11/players/140900.png,Albania,2.0,65.0,I. Lika,71.0,1.0,10
35.0,1,"Apr 14, 1977",E. Bogdani,https://cdn.sofifa.org/1x/13/players/140906.png,Albania,70.0,70.0,E. Bogdani,0.0,0.0,10
32.0,1,"Jul 31, 1982",E. Kapllani,https://cdn.sofifa.org/1x/16/players/157803.png,Albania,66.0,66.0,E. Kapllani,500.0,3.0,10
28.0,1,"Nov 20, 1987",V. Rama,https://cdn.sofifa.org/1x/17/players/177515.png,Albania,68.0,68.0,V. Rama,850.0,4.0,10
28.0,1,"Jan 19, 1984",H. Salihi,https://cdn.sofifa.org/1x/13/players/179600.png,Albania,68.0,68.0,H. Salihi,0.0,0.0,10
23.0,1,"Jan 27, 1990",R. Rama,https://cdn.sofifa.org/1x/14/players/191138.png,Albania,68.0,61.0,R. Rama,0.0,0.0,10
32.0,2,"Feb 2, 1977",Marc Bernaus,https://cdn.sofifa.org/1x/11/players/113032.png,Andorra,4.0,60.0,Marc Bernaus,66.0,0.0,10
18.0,2,"Jan 16, 1991",Adam Smith,https://cdn.sofifa.org/1x/11/players/195032.png,Andorra,79.0,54.0,Adam Smith,0.0,0.0,10
28.0,3,"Jan 21, 1989",H. Mkhitaryan,https://cdn.sofifa.org/1x/18/players/192883.png,Armenia,84.0,84.0,H. Mkhitaryan,31.5,175.0,18
27.0,3,"Mar 9, 1990",A. Özbiliz,https://cdn.sofifa.org/1x/18/players/200106.png,Armenia,73.0,73.0,A. Özbiliz,4.2,47.0,18
32.0,3,"Oct 3, 1984",Marcos Pizzelli,https://cdn.sofifa.org/1x/18/players/196217.png,Armenia,72.0,72.0,Marcos Pizzelli,2.4,23.0,18
29.0,3,"Apr 5, 1988",G. Ghazaryan,https://cdn.sofifa.org/1x/18/players/186270.png,Armenia,68.0,68.0,G. Ghazaryan,875.0,7.0,18
29.0,3,"Aug 2, 1987",Y. Movsisyan,https://cdn.sofifa.org/1x/18/players/176270.png,Armenia,70.0,70.0,Y. Movsisyan,1.8,7.0,18
30.0,3,"Jan 19, 1987",E. Manucharyan,https://cdn.sofifa.org/1x/18/players/168759.png,Armenia,67.0,67.0,E. Manucharyan,725.0,19.0,18
24.0,3,"May 23, 1993",S. Adamyan,https://cdn.sofifa.org/1x/18/players/218534.png,Armenia,71.0,68.0,S. Adamyan,1.1,7.0,18
31.0,3,"May 10, 1986",M. Guevgeozián,https://cdn.sofifa.org/1x/18/players/232657.png,Armenia,66.0,66.0,M. Guevgeozián,575.0,5.0,18
22.0,3,"Aug 16, 1994",D. Arshakyan,https://cdn.sofifa.org/1x/18/players/235588.png,Armenia,69.0,63.0,D. Arshakyan,525.0,2.0,18
29.0,3,"Jun 15, 1988",R. Koryan,https://cdn.sofifa.org/1x/18/players/239941.png,Armenia,65.0,65.0,R. Koryan,525.0,7.0,18
20.0,3,"Apr 24, 1997",G. Agbaljan,https://cdn.sofifa.org/1x/18/players/234666.png,Armenia,72.0,62.0,G. Agbaljan,475.0,2.0,18
28.0,3,"Jan 21, 1989",H. Mkhitaryan,https://cdn.sofifa.org/1x/18/players/192883.png,Armenia,84.0,84.0,H. Mkhitaryan,31.5,175.0,14
27.0,3,"Mar 9, 1990",A. Özbiliz,https://cdn.sofifa.org/1x/18/players/200106.png,Armenia,73.0,73.0,A. Özbiliz,4.2,47.0,14
27.0,3,"Nov 25, 1988",K. Mkrtchyan,https://cdn.sofifa.org/1x/17/players/195184.png,Armenia,70.0,69.0,K. Mkrtchyan,950.0,10.0,14
30.0,3,"Jan 19, 1987",E. Manucharyan,https://cdn.sofifa.org/1x/18/players/168759.png,Armenia,67.0,67.0,E. Manucharyan,725.0,19.0,14
39.0,3,"Aug 5, 1974",R. Berezovskiy,https://cdn.sofifa.org/1x/15/players/148194.png,Armenia,70.0,70.0,R. Berezovskiy,280.0,20.0,14
20.0,3,"Jun 10, 1993",V. Militosyan,https://cdn.sofifa.org/1x/14/players/213336.png,Armenia,65.0,59.0,V. Militosyan,0.0,0.0,14
32.0,3,"Oct 3, 1984",Marcos Pizzelli,https://cdn.sofifa.org/1x/18/players/196217.png,Armenia,72.0,72.0,Marcos Pizzelli,2.4,23.0,14
29.0,3,"Aug 2, 1987",Y. Movsisyan,https://cdn.sofifa.org/1x/18/players/176270.png,Armenia,70.0,70.0,Y. Movsisyan,1.8,7.0,14
26.0,3,"Jan 19, 1987",A. Sarkisov,https://cdn.sofifa.org/1x/14/players/202172.png,Armenia,68.0,66.0,A. Sarkisov,0.0,0.0,14
30.0,3,"Jul 24, 1985",R. Arzumanyan,https://cdn.sofifa.org/1x/17/players/168760.png,Armenia,66.0,66.0,R. Arzumanyan,450.0,1.0,10
25.0,3,"Sep 20, 1983",L. Pachajyan,https://cdn.sofifa.org/1x/11/players/168761.png,Armenia,57.0,53.0,L. Pachajyan,0.0,0.0,10
29.0,3,"Aug 2, 1987",Y. Movsisyan,https://cdn.sofifa.org/1x/18/players/176270.png,Armenia,70.0,70.0,Y. Movsisyan,1.8,7.0,10
26.0,3,"Sep 23, 1982",B. Kirakosyan,https://cdn.sofifa.org/1x/11/players/175507.png,Armenia,64.0,57.0,B. Kirakosyan,0.0,0.0,10
24.0,3,"Jun 17, 1986",Edel,https://cdn.sofifa.org/1x/11/players/177565.png,Armenia,6.0,76.0,Edel,80.0,6.0,10
39.0,3,"Aug 5, 1974",R. Berezovskiy,https://cdn.sofifa.org/1x/15/players/148194.png,Armenia,70.0,70.0,R. Berezovskiy,280.0,20.0,10
25.0,4,"Jun 24, 1992",D. Alaba,https://cdn.sofifa.org/1x/18/players/197445.png,Austria,87.0,85.0,D. Alaba,38.5,130.0,18
23.0,4,"Mar 17, 1994",M. Sabitzer,https://cdn.sofifa.org/1x/18/players/204923.png,Austria,84.0,81.0,M. Sabitzer,22.5,63.0,18
28.0,4,"Apr 19, 1989",M. Arnautović,https://cdn.sofifa.org/1x/18/players/184200.png,Austria,81.0,81.0,M. Arnautović,18.5,125.0,18
28.0,4,"Apr 29, 1989",G. Burgstaller,https://cdn.sofifa.org/1x/18/players/193584.png,Austria,79.0,79.0,G. Burgstaller,13.0,55.0,18
29.0,4,"Sep 26, 1987",Z. Junuzović,https://cdn.sofifa.org/1x/18/players/173474.png,Austria,79.0,79.0,Z. Junuzović,12.0,40.0,18
