nation,Fifa Ranking,year,rating
Russia,66,2018,77.16666666666667
Brazil,2,2018,86.0
Iran,36,2018,72.27272727272727
Japan,60,2018,76.27272727272727
Mexico,15,2018,79.18181818181819
Belgium,3,2018,86.81818181818181
South Korea,61,2018,62.333333333333336
South Korea,61,2018,74.9090909090909
Saudi Arabia,70,2018,73.9090909090909
Germany,1,2018,85.58333333333333
England,13,2018,82.45454545454545
Spain,8,2018,86.81818181818181
Nigeria,47,2018,75.81818181818181
Costa Rica,25,2018,75.27272727272727
Poland,10,2018,80.54545454545455
Egypt,46,2018,74.54545454545455
Iceland,22,2018,73.81818181818181
Serbia,35,2018,80.27272727272727
Portugal,4,2018,83.54545454545455
France,7,2018,85.45454545454545
Uruguay,17,2018,81.81818181818181
Argentina,5,2018,86.18181818181819
Colombia,16,2018,80.9090909090909
Panama,55,2018,68.0
Senegal,28,2018,79.0
Morocco,42,2018,78.63636363636364
Tunisia,14,2018,72.81818181818181
Switzerland,6,2018,78.63636363636364
Croatia,18,2018,82.81818181818181
Sweden,23,2018,77.16666666666667
Denmark,12,2018,79.45454545454545
Australia,26,2018,73.81818181818181
Peru,11,2018,74.27272727272727
South Africa,85,2010,62.63636363636363
Japan,40,2010,63.54545454545455
Australia,24,2010,62.5
South Korea,48,2010,69.0
South Korea,48,2010,63.27272727272727
Netherlands,3,2010,65.16666666666667
Brazil,1,2010,69.54545454545455
Ghana,38,2010,65.72727272727273
England,7,2010,59.0
Spain,2,2010,64.45454545454545
Paraguay,21,2010,66.9090909090909
Ivory Coast,19,2010,69.0
Germany,5,2010,66.27272727272727
Denmark,27,2010,67.6
Serbia,20,2010,66.54545454545455
Italy,4,2010,69.54545454545455
Chile,17,2010,67.54545454545455
Mexico,18,2010,61.72727272727273
United States,11,2010,61.45454545454545
Switzerland,13,2010,62.27272727272727
Slovakia,33,2010,64.45454545454545
Argentina,6,2010,69.6
Honduras,35,2010,67.81818181818181
New Zealand,83,2010,59.54545454545455
Nigeria,32,2010,63.90909090909091
Cameroon,14,2010,67.8
Algeria,29,2010,62.09090909090909
Greece,16,2010,70.63636363636364
Slovenia,49,2010,69.27272727272727
Portugal,10,2010,70.33333333333333
France,9,2010,68.54545454545455
Uruguay,25,2010,68.0
Brazil,11,2014,83.18181818181819
Japan,44,2014,73.9090909090909
Australia,57,2014,72.9090909090909
Iran,49,2014,71.42857142857143
South Korea,56,2014,72.0
South Korea,56,2014,73.18181818181819
Netherlands,8,2014,77.27272727272727
Italy,9,2014,80.81818181818181
Costa Rica,31,2014,73.45454545454545
United States,13,2014,74.6923076923077
Argentina,3,2014,81.66666666666667
Belgium,5,2014,84.63636363636364
Switzerland,7,2014,76.81818181818181
Germany,2,2014,86.0
Colombia,4,2014,79.72727272727273
Russia,19,2014,74.14285714285714
England,10,2014,80.18181818181819
Spain,1,2014,86.36363636363636
Chile,12,2014,78.36363636363636
Ecuador,22,2014,73.63636363636364
Honduras,34,2014,67.27272727272727
Nigeria,33,2014,74.91666666666667
Ivory Coast,17,2014,78.0909090909091
Cameroon,59,2014,76.36363636363636
Ghana,23,2014,75.0909090909091
Algeria,32,2014,76.0
Greece,15,2014,76.0909090909091
Croatia,18,2014,82.0
Portugal,14,2014,80.27272727272727
France,21,2014,79.46153846153847
Mexico,24,2014,77.72727272727273
Uruguay,6,2014,79.72727272727273
